253   alpha=0.7777 beta=1.9432,    на последнем интервале alpha=0.5890, beta= 1.1100
254   alpha=0.7652 beta=1.8833,    на последнем интервале alpha=0.5945, beta= 1.1087
255   alpha=0.7528 beta=1.8222,    на последнем интервале alpha=0.5999, beta= 1.1074
256   alpha=0.7430 beta=1.7794,    на последнем интервале alpha=0.6137, beta= 1.1041
257   alpha=0.7137 beta=1.6974,    на последнем интервале alpha=0.5732, beta= 1.1138
258   alpha=0.7154 beta=1.7111,    на последнем интервале alpha=0.5750, beta= 1.1134
259   alpha=0.7171 beta=1.7248,    на последнем интервале alpha=0.5768, beta= 1.1129
260   alpha=0.6822 beta=1.7051,    на последнем интервале alpha=0.5682, beta= 1.1149
261   alpha=0.6889 beta=1.6640,    на последнем интервале alpha=0.5685, beta= 1.1149
262   alpha=0.6907 beta=1.7309,    на последнем интервале alpha=0.5526, beta= 1.1186
263   alpha=0.6789 beta=1.6964,    на последнем интервале alpha=0.5467, beta= 1.1200
264   alpha=0.6671 beta=1.6612,    на последнем интервале alpha=0.5407, beta= 1.1213
265   alpha=0.6491 beta=1.5558,    на последнем интервале alpha=0.5506, beta= 1.1190
266   alpha=0.6480 beta=1.5713,    на последнем интервале alpha=0.5516, beta= 1.1188
267   alpha=0.6385 beta=1.5524,    на последнем интервале alpha=0.5367, beta= 1.1223
268   alpha=0.6290 beta=1.5332,    на последнем интервале alpha=0.5217, beta= 1.1257
269   alpha=0.6054 beta=1.4777,    на последнем интервале alpha=0.5070, beta= 1.1290
270   alpha=0.5818 beta=1.2635,    на последнем интервале alpha=0.5280, beta= 1.1242
271   alpha=0.5805 beta=1.2808,    на последнем интервале alpha=0.5267, beta= 1.1245
272   alpha=0.5792 beta=1.2982,    на последнем интервале alpha=0.5254, beta= 1.1248
273   alpha=0.5578 beta=1.0978,    на последнем интервале alpha=0.5050, beta= 1.1295
274   alpha=0.5674 beta=1.3279,    на последнем интервале alpha=0.5016, beta= 1.1302
275   alpha=0.5615 beta=1.3075,    на последнем интервале alpha=0.4996, beta= 1.1307
276   alpha=0.5557 beta=1.2868,    на последнем интервале alpha=0.4976, beta= 1.1311
277   alpha=0.5337 beta=1.1255,    на последнем интервале alpha=0.4929, beta= 1.1321
278   alpha=0.5124 beta=1.0196,    на последнем интервале alpha=0.4842, beta= 1.1341
279   alpha=0.5150 beta=0.9909,    на последнем интервале alpha=0.4866, beta= 1.1336
280   alpha=0.5177 beta=0.9629,    на последнем интервале alpha=0.4889, beta= 1.1330
281   alpha=0.5163 beta=1.0566,    на последнем интервале alpha=0.4651, beta= 1.1383
282   alpha=0.4961 beta=0.9513,    на последнем интервале alpha=0.4842, beta= 1.1341
283   alpha=0.4973 beta=0.9498,    на последнем интервале alpha=0.4829, beta= 1.1344
284   alpha=0.4984 beta=0.9482,    на последнем интервале alpha=0.4815, beta= 1.1347
285   alpha=0.4929 beta=0.8851,    на последнем интервале alpha=0.4822, beta= 1.1345
286   alpha=0.4787 beta=0.9190,    на последнем интервале alpha=0.4715, beta= 1.1369
287   alpha=0.4725 beta=0.8128,    на последнем интервале alpha=0.4641, beta= 1.1385
288   alpha=0.4675 beta=0.8035,    на последнем интервале alpha=0.4582, beta= 1.1398
289   alpha=0.4625 beta=0.7942,    на последнем интервале alpha=0.4523, beta= 1.1411
290   alpha=0.4589 beta=0.8446,    на последнем интервале alpha=0.4303, beta= 1.1458
291   alpha=0.4496 beta=0.7734,    на последнем интервале alpha=0.4519, beta= 1.1411
292   alpha=0.4453 beta=0.7596,    на последнем интервале alpha=0.4438, beta= 1.1429
293   alpha=0.4409 beta=0.7455,    на последнем интервале alpha=0.4357, beta= 1.1446
294   alpha=0.4549 beta=0.9728,    на последнем интервале alpha=0.4351, beta= 1.1448
295   alpha=0.4321 beta=0.7478,    на последнем интервале alpha=0.4411, beta= 1.1435
296   alpha=0.4341 beta=0.7134,    на последнем интервале alpha=0.4481, beta= 1.1420
297   alpha=0.4362 beta=0.6795,    на последнем интервале alpha=0.4550, beta= 1.1405
298   alpha=0.4372 beta=0.8389,    на последнем интервале alpha=0.4205, beta= 1.1479
299   alpha=0.4356 beta=0.8904,    на последнем интервале alpha=0.4310, beta= 1.1456
300   alpha=0.4246 beta=0.8651,    на последнем интервале alpha=0.4166, beta= 1.1487
301   alpha=0.4135 beta=0.8388,    на последнем интервале alpha=0.4022, beta= 1.1517
302   alpha=0.4126 beta=0.8208,    на последнем интервале alpha=0.4002, beta= 1.1521
303   alpha=0.3941 beta=0.7188,    на последнем интервале alpha=0.3937, beta= 1.1535
304   alpha=0.3926 beta=0.6983,    на последнем интервале alpha=0.3890, beta= 1.1545
305   alpha=0.3910 beta=0.6780,    на последнем интервале alpha=0.3842, beta= 1.1554
306   alpha=0.3973 beta=0.8160,    на последнем интервале alpha=0.3924, beta= 1.1538
307   alpha=0.4027 beta=0.8499,    на последнем интервале alpha=0.3981, beta= 1.1526
308   alpha=0.3946 beta=0.7808,    на последнем интервале alpha=0.3964, beta= 1.1529
309   alpha=0.3865 beta=0.7102,    на последнем интервале alpha=0.3947, beta= 1.1533
